Country,State,Year,Road Environment,Rank Of Persons Killed,Rank Of Total Accidents,"Number Of Persons Greviously Injured (UOM:Number), Scaling Factor:1","Number Of Persons Killed (UOM:Number), Scaling Factor:1","Number Of Persons With Minor Injury (UOM:Number), Scaling Factor:1","Total Accidents (UOM:Number), Scaling Factor:1","Total Number Of Persons Injured (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,14,5,19,30,33
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,21,4,24,46,45
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Open Area,,,7,3,16,16,23
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Others,,,0,0,0,0,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Residential Area,,,18,12,35,51,53
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,465,461,908,1278,1373
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,863,926,1861,2882,2724
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Open Area,,,2435,4731,8086,10134,10521
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Others,,,538,426,692,1089,1230
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Residential Area,,,1506,1593,3055,4566,4561
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,18,7,9,26,27
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,35,35,19,79,54
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Open Area,,,77,75,35,116,112
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Others,,,19,13,9,28,28
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Residential Area,,,25,15,11,38,36
India,Assam,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,505,251,75,658,580
India,Assam,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,1240,779,127,1803,1367
India,Assam,"Calendar Year (Jan - Dec), 2023",Open Area,,,1828,1207,166,2525,1994
India,Assam,"Calendar Year (Jan - Dec), 2023",Others,,,614,357,51,830,665
India,Assam,"Calendar Year (Jan - Dec), 2023",Residential Area,,,1189,702,122,1605,1311
India,Bihar,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,341,389,45,513,386
India,Bihar,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,1067,1521,134,1942,1201
India,Bihar,"Calendar Year (Jan - Dec), 2023",Open Area,,,2774,4313,210,5244,2984
India,Bihar,"Calendar Year (Jan - Dec), 2023",Others,,,171,262,20,360,191
India,Bihar,"Calendar Year (Jan - Dec), 2023",Residential Area,,,1614,2388,163,2955,1777
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,1,6,18,18,19
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,0,7,16,22,16
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Open Area,,,1,52,116,124,117
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Others,,,0,0,0,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Residential Area,,,0,2,19,18,19
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,67,123,299,377,366
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,190,331,1173,1612,1363
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Open Area,,,1011,4036,5579,7489,6590
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Others,,,51,248,387,520,438
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Residential Area,,,538,1428,2428,3470,2966
India,Delhi,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,21,90,568,413,589
